time[s], RV[m/s], err_RV[m/s], logRHK
0.710417 -2.166899 0.100000 -1.406338 
0.711111 -0.377749 0.100000 0.286799 
0.735417 -1.927109 0.100000 -1.208831 
0.740278 -0.669368 0.100000 -1.011493 
0.740972 -1.301627 0.100000 -0.536222 
0.766667 -1.095677 0.100000 -0.292711 
0.775694 -0.760477 0.100000 -0.888997 
0.784028 -1.318447 0.100000 -0.568800 
0.795139 -1.478707 0.100000 -1.364730 
0.801389 -0.890741 0.100000 -0.325745 
0.805556 -1.598013 0.100000 -1.186634 
0.825000 -0.647004 0.100000 -1.579774 
0.843750 0.033645 0.100000 -0.805513 
0.892361 -1.088431 0.100000 -0.509883 
0.900000 0.235828 0.100000 -1.967318 
0.904167 -1.218653 0.100000 -0.775653 
0.913194 -1.343713 0.100000 -1.434369 
0.919444 -1.664880 0.100000 -0.944829 
0.945139 -0.877710 0.100000 -0.077697 
0.982639 -0.864383 0.100000 -0.395294 
0.998611 -0.006292 0.100000 -1.819699 
1.005556 -0.190614 0.100000 0.733822 
1.011806 -0.662543 0.100000 -0.339805 
1.057639 -0.063566 0.100000 -0.253444 
1.077778 -0.915299 0.100000 -1.321339 
1.087500 -0.085239 0.100000 -0.784895 
1.095139 -0.456578 0.100000 -0.591650 
1.108333 -0.259158 0.100000 -0.623444 
1.136806 -1.263089 0.100000 0.374958 
1.141667 0.010980 0.100000 -0.931926 
1.142361 0.262383 0.100000 -1.540692 
1.152083 0.073827 0.100000 -0.556403 
1.157639 -0.710217 0.100000 0.483413 
1.170139 -1.110641 0.100000 -1.497904 
1.184028 -1.156813 0.100000 1.118666 
1.192361 -1.037459 0.100000 0.195543 
1.195833 -0.266509 0.100000 -0.420493 
1.212500 1.174493 0.100000 -0.312165 
1.232639 -0.167915 0.100000 -0.068497 
1.252083 -0.513828 0.100000 -0.334711 
1.272222 -1.145564 0.100000 -0.663387 
1.306944 -2.260669 0.100000 -0.247543 
1.328472 -0.764887 0.100000 -0.392347 
1.393750 -1.330467 0.100000 -0.033622 
1.395833 -0.315379 0.100000 -0.240997 
1.405556 -1.077618 0.100000 -0.279058 
1.418056 -0.247203 0.100000 0.393607 
1.418750 -1.851122 0.100000 -1.014893 
1.478472 -1.487676 0.100000 -0.072907 
1.481944 -0.863861 0.100000 0.557929 
1.518056 -0.300985 0.100000 -0.400664 
1.519444 -0.134009 0.100000 0.060012 
1.538889 -0.622078 0.100000 -1.019443 
1.541667 -0.899130 0.100000 0.458685 
1.556944 0.310568 0.100000 -0.840150 
1.561111 -0.817189 0.100000 -0.175829 
1.566667 -0.804708 0.100000 -0.457826 
1.600000 -0.780821 0.100000 0.376174 
1.645833 -0.138816 0.100000 0.107595 
1.648611 -1.521599 0.100000 0.081729 
1.656250 0.106122 0.100000 -0.920957 
1.675000 -1.211125 0.100000 -0.340451 
1.678472 -0.711158 0.100000 0.205432 
1.702083 -0.300958 0.100000 -0.327541 
1.706944 -0.175644 0.100000 -0.884168 
1.729167 -0.337573 0.100000 0.590184 
1.731944 0.770202 0.100000 0.002393 
1.751389 -0.758137 0.100000 0.990774 
1.782639 -0.997207 0.100000 0.468126 
1.788889 -0.543142 0.100000 -1.258876 
1.794444 -0.571102 0.100000 -0.320591 
1.812500 -0.560284 0.100000 0.116145 
1.815278 -1.019325 0.100000 -0.330196 
1.864583 -0.639264 0.100000 -0.926377 
1.868056 -0.419052 0.100000 0.185186 
1.875000 0.229355 0.100000 -0.042802 
1.883333 0.204792 0.100000 -0.564526 
1.897917 0.126999 0.100000 -0.096290 
1.905556 -0.632799 0.100000 -0.467132 
1.931250 -0.737612 0.100000 1.087224 
1.936806 -1.044028 0.100000 -0.292444 
1.954861 -0.141066 0.100000 -0.091741 
8.006944 -1.500293 0.100000 -1.285756 
8.027778 -1.724694 0.100000 -2.373834 
8.032639 -2.136950 0.100000 -2.441526 
8.045833 -2.530296 0.100000 -2.401252 
8.047917 -3.224159 0.100000 -1.726509 
8.052778 -2.831596 0.100000 -1.227068 
8.077778 -2.348326 0.100000 -2.571787 
8.106944 -2.331968 0.100000 -2.485310 
8.119444 -3.800745 0.100000 -2.487727 
8.120139 -2.262838 0.100000 -3.505834 
8.127778 -2.575137 0.100000 -0.831361 
8.131944 -2.173106 0.100000 -0.850289 
8.149306 -1.757301 0.100000 -1.563144 
8.154167 -1.806075 0.100000 -1.054834 
8.181250 -1.764212 0.100000 -1.439209 
8.247222 -1.165753 0.100000 -1.368617 
8.250694 -0.525564 0.100000 -2.393381 
8.252083 -1.651010 0.100000 -2.261395 
8.261806 -2.358133 0.100000 -1.420554 
8.290278 -1.201438 0.100000 -1.652756 
8.328472 -2.401174 0.100000 -0.958929 
8.331944 -1.808900 0.100000 -1.508160 
8.338194 -2.511615 0.100000 -1.234545 
8.345139 -1.530624 0.100000 -1.786999 
8.357639 -1.716629 0.100000 -3.473959 
8.378472 -2.232718 0.100000 -1.464467 
8.397222 -1.444642 0.100000 -1.351569 
8.402083 -1.438965 0.100000 -1.732325 
8.406250 -1.042377 0.100000 -2.916204 
8.409722 -1.466962 0.100000 -0.836489 
8.424306 -1.099040 0.100000 -1.698787 
8.426389 -2.253777 0.100000 -2.173047 
8.427778 -1.520376 0.100000 -1.977645 
8.447222 -0.752133 0.100000 -2.320626 
8.465278 -1.625720 0.100000 -2.257618 
8.468750 -2.112520 0.100000 -1.275979 
8.472917 -0.918258 0.100000 -1.515711 
8.477083 -1.776818 0.100000 -3.065552 
8.481250 -1.480628 0.100000 -1.329174 
8.517361 -1.508256 0.100000 -1.886236 
8.518750 -2.381267 0.100000 -0.978323 
8.525000 -2.510888 0.100000 -1.708108 
8.534028 -1.988584 0.100000 -2.570946 
8.545139 -3.412017 0.100000 -1.270115 
8.562500 -1.741960 0.100000 -1.520962 
8.578472 -2.613374 0.100000 -2.176838 
8.601389 -2.414074 0.100000 -1.849068 
8.607639 -2.214435 0.100000 -2.949576 
8.608333 -2.320840 0.100000 -1.787030 
8.613194 -2.067679 0.100000 -1.409987 
8.613889 -1.334950 0.100000 -1.893333 
8.616667 -2.254211 0.100000 -0.966398 
8.622917 -2.128607 0.100000 -2.060471 
8.665278 -2.035849 0.100000 -2.015365 
8.667361 -2.199904 0.100000 -1.950285 
8.668750 -2.183310 0.100000 -1.923144 
8.677778 -1.349998 0.100000 -2.233022 
8.679861 -1.942204 0.100000 -1.525204 
8.711111 -1.563947 0.100000 -2.616146 
8.715972 -1.540333 0.100000 -1.236577 
8.733333 -2.592551 0.100000 -1.460940 
8.737500 -2.655436 0.100000 -1.412322 
8.739583 -1.436345 0.100000 -2.099833 
8.760417 -1.364670 0.100000 -2.070426 
8.767361 -1.366909 0.100000 -1.126921 
8.817361 -1.869294 0.100000 -1.860003 
8.820833 -3.010703 0.100000 -2.136464 
8.830556 -1.842805 0.100000 -2.777496 
8.870833 -0.561563 0.100000 -1.862840 
8.875694 -0.921903 0.100000 -1.772704 
8.880556 -1.807256 0.100000 -1.581498 
8.886806 0.401459 0.100000 -0.655757 
8.898611 -1.926154 0.100000 -1.649250 
8.934722 -2.186794 0.100000 -1.184667 
8.937500 -2.906556 0.100000 -2.070699 
8.969444 -0.563967 0.100000 -1.167819 
8.973611 -1.319030 0.100000 -1.652456 
8.977778 -2.052490 0.100000 -1.729457 
8.995139 -1.683315 0.100000 -1.378084 
9.009028 -2.730535 0.100000 -1.904611 
9.027778 -1.691861 0.100000 -2.077786 
9.028472 -1.911193 0.100000 -1.222511 
9.044444 -1.574236 0.100000 -1.960602 
9.047222 -0.977034 0.100000 -1.502369 
9.068056 -1.638496 0.100000 -1.477481 
9.079167 -1.767617 0.100000 -0.766481 
9.090278 -1.650707 0.100000 -1.887730 
9.103472 -1.469317 0.100000 -1.497576 
9.122222 -1.458920 0.100000 -1.146240 
9.134722 -0.883160 0.100000 -0.941233 
9.143750 -2.089353 0.100000 -1.907528 
9.155556 -2.002362 0.100000 -3.287267 
9.170833 -1.797748 0.100000 -2.923492 
9.175694 -2.874978 0.100000 -2.168457 
9.178472 -2.049090 0.100000 -0.670020 
9.186806 -2.926769 0.100000 -1.392617 
9.188194 -2.404855 0.100000 -1.432206 
9.192361 -3.096048 0.100000 -1.816743 
9.194444 -2.064154 0.100000 -2.584210 
9.219444 -1.404996 0.100000 -1.735437 
9.225000 -1.944462 0.100000 -1.900538 
9.229861 -1.493576 0.100000 -1.310041 
9.254861 -1.746515 0.100000 -1.350861 
9.263194 -2.053315 0.100000 -1.102356 
9.288194 -1.438486 0.100000 -1.632652 
9.300694 -1.499981 0.100000 -0.688773 
9.316667 -2.005729 0.100000 -1.998049 
9.319444 -2.213334 0.100000 -2.498057 
9.334722 -0.968867 0.100000 -1.740415 
9.343056 -1.422166 0.100000 -1.656503 
9.357639 -2.922797 0.100000 -2.881441 
9.369444 -2.779116 0.100000 -2.203515 
9.396528 -2.000024 0.100000 -1.061370 
9.397222 -1.974666 0.100000 -2.001307 
9.456250 -1.837097 0.100000 -1.446754 
9.456944 -1.871917 0.100000 -1.912299 
9.463889 -1.584160 0.100000 -2.372128 
9.477083 -1.307900 0.100000 -1.943891 
9.486806 -2.004723 0.100000 -1.677595 
9.507639 -1.679607 0.100000 -1.907101 
9.511806 -2.502895 0.100000 -2.574516 
9.517361 -2.092149 0.100000 -2.214876 
9.520139 -1.200130 0.100000 -2.380001 
9.522222 -1.662913 0.100000 -1.124390 
9.531250 -0.767210 0.100000 -1.981471 
9.538889 -1.009909 0.100000 -1.214419 
9.546528 -1.072205 0.100000 -2.615584 
9.554167 -1.855766 0.100000 -2.554707 
9.568750 -2.608487 0.100000 -2.087403 
9.588194 -2.029431 0.100000 -1.728310 
9.596528 -1.859546 0.100000 -2.185505 
9.615972 -1.203634 0.100000 -2.267462 
9.618056 -1.338258 0.100000 -2.531717 
9.618750 -1.582823 0.100000 -1.735609 
9.636806 -1.285857 0.100000 -3.559214 
9.665278 -1.569154 0.100000 -1.716202 
9.686111 -2.415130 0.100000 -1.492575 
9.713194 -2.586235 0.100000 -1.611663 
9.716667 -1.573588 0.100000 -2.582307 
9.761806 -1.202813 0.100000 -1.997466 
9.777083 -1.338265 0.100000 -1.330096 
9.778472 -1.775313 0.100000 -2.002824 
9.806944 -2.170019 0.100000 -1.208918 
9.808333 -1.948899 0.100000 -3.813187 
9.809028 -3.193961 0.100000 -1.953922 
9.812500 -1.904022 0.100000 -1.682040 
9.820833 -1.165996 0.100000 -1.231212 
9.825694 -2.212179 0.100000 -0.063928 
9.850694 -3.211969 0.100000 -1.994429 
9.896528 -1.267990 0.100000 -1.384680 
9.927778 -1.151851 0.100000 -2.562195 
9.952083 -1.462572 0.100000 -2.192993 
9.989583 -2.832964 0.100000 -1.144303 
